사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차
2020-11,경부선,250,가산디지털단지,"1,381",5,"8,123","2,295","6,822","11,261","14,192","47,856","14,083","149,965","10,182","74,873","8,628","23,193","9,769","14,500","11,289","14,761","12,021","16,155","12,884","15,581","14,828","14,957","21,576","17,480","57,968","22,199","110,853","27,278","44,761","19,541","27,058","11,635","22,595","11,189","12,993","9,307","4,576","5,280",112,"1,160",3,0,5,0,0,0
2020-11,경부선,251,금천구청,690,6,"10,805","1,465","17,413","5,052","44,764","14,067","43,959","28,647","23,431","10,749","15,626","8,772","14,083","8,090","14,030","11,197","13,266","11,806","12,343","11,953","12,532","15,278","13,902","18,226","16,528","25,581","23,699","43,391","10,801","32,886","7,948","17,089","6,605","17,226","4,623","13,441","1,615","8,591",51,877,2,0,0,0,0,0
2020-11,경부선,252,석수,399,1,"7,480","2,830","15,356","5,945","37,510","11,699","39,397","17,236","20,763","11,015","12,706","8,876","11,845","6,595","11,650","7,156","11,164","8,137","10,537","8,118","12,115","9,987","13,529","12,390","17,599","17,980","18,513","31,441","9,829","27,802","6,750","14,775","5,588","15,844","3,503","12,517","1,226","6,775",33,839,1,0,5,0,0,0
2020-11,경부선,253,관악,235,2,"7,242","1,951","11,154","3,927","30,914","4,959","29,997","9,497","14,817","8,779","9,423","8,558","8,305","5,819","9,107","6,873","8,728","6,829","8,934","6,614","8,827","7,977","10,944","9,575","11,938","14,066","10,197","24,856","5,984","21,619","4,224","11,913","3,804","11,533","2,280","9,338",782,"5,895",46,973,1,0,0,0,2,0
2020-11,경부선,254,안양,286,5,"14,182","3,411","28,973","12,066","75,351","15,089","69,413","39,290","37,807","42,484","25,409","25,377","25,215","24,722","31,760","30,260","31,341","34,858","28,524","29,778","33,207","31,540","43,168","35,265","47,235","51,881","39,339","79,927","24,597","66,346","22,548","36,324","24,530","29,538","18,273","22,677","6,973","16,245",415,"2,551",4,1,4,0,3,0
2020-11,경부선,255,명학,143,1,"6,339","2,584","8,803","10,200","23,629","21,906","21,673","52,771","11,219","12,370","7,626","7,558","8,035","6,544","8,832","6,874","8,502","7,839","8,310","7,200","9,248","7,591","13,048","8,875","25,303","11,439","34,804","18,332","11,615","16,678","11,094","9,588","8,342","8,991","4,868","6,861","1,622","5,207",51,997,3,0,1,0,2,0
2020-11,경부선,256,금정,267,2,"22,197","6,750","31,870","20,957","74,926","37,926","79,782","85,992","45,703","29,099","28,760","18,732","27,029","19,129","28,488","21,397","27,333","23,811","25,014","24,705","26,281","28,645","34,288","36,412","52,123","52,233","70,107","77,606","31,106","67,278","24,235","39,652","21,854","39,687","14,547","30,006","5,725","21,659",429,"5,082",5,0,6,0,5,0
2020-11,경부선,257,군포,59,5,"5,469","1,768","8,418","7,211","17,160","26,516","16,970","44,574","8,866","8,531","6,630","4,595","6,414","4,421","6,826","5,319","6,572","5,677","6,123","5,322","6,556","6,051","7,937","7,327","19,413","11,013","33,911","13,276","11,728","12,688","9,195","7,547","7,488","6,886","3,726","5,399","1,240","3,726",115,577,2,0,1,0,0,0
2020-11,경부선,258,의왕,156,1,"5,932","1,606","11,885","6,865","29,358","22,781","28,922","24,490","13,003","9,384","9,560","6,442","9,332","6,626","10,332","7,276","9,928","8,579","9,311","7,775","10,028","9,407","13,409","11,860","22,041","16,167","21,287","26,102","10,483","22,253","7,812","13,946","6,019","12,057","3,589","9,775","1,586","6,488",98,"1,256",0,0,0,0,0,0
2020-11,경부선,259,성균관대,180,6,"7,982","1,797","24,246","4,951","60,515","9,240","51,099","24,353","23,227","16,590","16,284","12,531","15,526","12,551","17,494","12,593","17,674","17,547","15,440","14,863","16,507","17,093","21,592","20,547","26,080","31,354","24,799","53,274","13,641","48,670","11,513","27,381","11,255","24,460","9,471","19,916","3,881","13,076",223,"2,502",4,0,1,0,1,0
2020-11,경부선,260,화서,352,2,"6,159","1,709","17,116","5,620","35,794","4,556","26,790","8,658","11,658","5,621","8,564","4,705","8,009","5,060","7,786","5,100","7,700","6,871","6,621","6,674","7,140","7,693","9,546","8,801","10,855","17,731","8,867","28,043","4,957","24,255","3,632","13,234","3,297","11,817","2,890","9,394",774,"6,278",65,"1,291",0,0,1,0,0,0
2020-11,경부선,261,수원,"2,146",32,"17,994","6,614","30,016","26,262","64,933","47,010","59,661","68,446","37,930","62,693","33,934","50,164","39,382","52,225","44,489","59,239","46,117","62,120","48,027","59,981","56,955","59,014","72,984","67,251","82,414","83,923","89,397","107,031","69,170","85,337","72,521","47,045","54,055","38,163","43,497","28,563","16,787","19,452",419,"5,028",3,0,12,0,2,0
2020-11,경부선,262,독산,508,2,"6,820","2,807","14,928","13,134","36,668","37,229","35,974","92,430","19,263","42,702","14,038","16,107","13,403","10,790","15,230","12,801","14,541","12,797","13,964","12,016","15,604","13,669","23,303","16,619","46,689","22,794","68,959","37,706","31,386","31,076","16,712","16,899","13,323","18,005","8,014","13,958","2,309","7,954",56,636,1,0,6,0,2,0
2020-11,경부선,263,세류,410,8,"3,283",765,"6,657","2,758","13,237","3,787","9,380","4,320","4,537","2,559","3,607","2,278","3,292","2,682","3,265","2,564","3,434","2,868","2,898","2,875","3,344","3,102","4,212","4,590","5,330","6,297","5,696","9,544","3,230","9,102","2,596","5,563","2,003","4,840","1,220","3,979",404,"2,235",9,827,0,0,0,0,0,0
2020-11,경부선,264,병점,"2,670",28,"6,706","3,200","20,592","9,857","45,126","19,765","34,507","22,773","21,247","13,152","17,001","10,151","16,758","11,350","17,985","12,915","16,472","13,713","15,328","14,924","17,187","16,377","22,268","21,560","29,721","28,831","30,972","41,425","16,375","39,001","11,926","25,683","10,088","21,360","7,349","18,181","2,240","11,977",27,"5,923",3,0,0,0,0,0
2020-11,경부선,265,세마,271,4,"1,706",436,"4,582","1,528","8,864","2,807","6,890","6,375","5,032","1,889","3,393","1,659","2,917","1,910","3,192","1,909","3,405","2,426","2,821","2,528","2,911","2,043","3,878","3,523","4,603","4,598","5,527","6,969","2,353","6,437","1,678","4,446","1,578","3,947",885,"3,241",411,"1,832",23,151,0,0,0,0,0,0
2020-11,경부선,266,오산대,123,0,"2,449",429,"5,408","1,899","9,845","3,345","7,364","7,530","5,124","3,349","3,679","3,169","3,516","3,371","3,701","3,051","4,276","4,547","4,170","3,679","4,741","2,712","6,029","4,242","6,116","6,106","7,217","8,871","3,324","7,772","2,692","4,669","2,578","4,453","1,589","3,178",813,"2,165",54,120,0,0,0,0,0,0
2020-11,경부선,267,오산,321,0,"6,177","1,245","12,862","8,675","20,351","21,621","19,843","20,030","14,321","12,624","12,678","8,664","13,039","8,293","15,148","10,673","13,015","12,300","13,010","11,617","13,569","14,233","17,359","16,368","24,223","21,128","25,621","24,886","14,436","22,180","11,182","15,965","8,158","13,158","5,073","8,725","1,898","5,860",92,381,3,0,2,0,0,0
2020-11,경부선,268,진위,10,0,607,263,"1,478","2,211","2,608","6,558","2,199","7,028","1,678","1,367","1,198","1,129","1,183",970,"1,520",967,"1,470","1,192","1,555",973,"2,097","1,100","2,823","1,404","5,879","1,731","7,656","2,455","2,970","2,176","1,760","1,175","1,169","1,368",657,"1,337",182,626,10,48,1,0,0,0,0,0
2020-11,경부선,269,송탄,63,4,"6,159",782,"7,459","3,010","12,272","4,854","9,136","7,352","7,330","3,945","5,949","3,406","6,453","3,898","6,817","4,463","6,649","4,790","5,780","5,167","6,391","6,280","7,721","6,795","8,243","9,902","9,060","10,617","5,261","12,142","3,893","8,230","3,199","8,494","2,064","7,116",877,"4,110",66,434,0,0,0,0,0,0
2020-11,경부선,270,서정리,23,1,"2,767","7,120","7,742","6,317","11,786","11,514","10,386","15,885","7,708","9,544","7,392","6,065","7,985","5,568","9,837","8,652","8,688","8,541","8,875","6,712","10,850","6,917","15,452","10,911","22,085","12,286","18,346","11,647","9,751","14,347","7,230","9,097","5,296","8,402","2,640","7,102",843,"4,990",27,509,0,0,1,0,1,0
2020-11,경부선,271,지제,12,2,842,"2,392","2,299","6,404","6,429","8,172","4,860","6,096","2,801","2,900","2,501","1,818","2,689","2,465","3,693","2,368","2,421","2,510","3,081","2,517","4,224","3,326","5,086","3,337","9,604","3,471","7,915","5,999","5,254","4,470","2,940","3,506","3,315","2,783","2,313","2,612",962,"1,508",3,53,0,0,0,0,0,0
2020-11,경부선,272,평택,100,2,"6,883","2,332","12,425","7,607","24,111","14,777","21,866","20,690","17,791","17,803","15,686","13,365","15,744","16,859","17,261","17,251","18,027","19,231","17,721","19,633","18,898","20,398","23,488","24,152","28,280","28,877","26,569","33,259","18,897","23,588","18,055","18,473","12,729","13,547","9,434","10,368","4,306","6,771",28,"1,432",1,0,1,0,2,0
2020-11,경부선,273,성환,24,1,"1,505",554,"2,634","1,746","5,258","9,245","4,871","12,443","4,267","6,926","4,181","3,815","4,625","4,606","5,743","6,567","7,076","6,312","6,170","5,067","6,398","4,391","8,987","5,318","13,820","6,028","10,754","6,507","4,627","4,941","3,937","4,156","2,693","4,423","1,368","3,536",495,"2,900",49,735,0,0,0,0,0,0
2020-11,경부선,274,직산,17,1,485,278,"1,118",654,"1,565","2,025","1,053","2,729",958,776,956,763,842,737,987,854,804,932,904,738,"1,095",708,"1,062","1,034","2,073","1,233","2,311","1,340",889,"1,470",633,791,520,799,391,646,161,548,10,117,0,0,0,0,0,0
2020-11,경부선,275,두정,"1,094",3,"3,764",722,"7,625","2,375","11,762","6,222","10,252","9,269","6,897","8,806","6,484","5,578","6,778","6,972","7,022","8,223","7,887","8,149","7,796","7,119","8,457","6,884","9,512","8,173","12,306","10,128","12,118","14,320","7,047","11,017","5,188","10,024","4,456","6,998","3,347","6,273","1,612","4,984",34,"1,228",0,0,0,0,0,0
2020-11,경부선,276,천안,"1,358",5,"2,473",638,"4,494","3,663","8,325","4,779","6,977","8,604","7,263","8,378","7,277","8,370","8,395","9,238","8,140","8,813","9,079","10,566","9,813","8,365","11,438","11,166","12,280","9,788","12,085","11,551","11,913","12,241","7,886","9,205","5,847","8,018","4,700","4,199","2,690","3,888","1,261","2,384",7,"1,470",1,0,0,0,0,0
2020-11,경부선,277,당정,11,1,"3,079",948,"9,746","3,183","23,611","7,962","21,384","15,542","10,862","5,324","7,652","3,749","7,330","4,091","8,016","4,920","7,320","5,488","6,343","5,186","6,656","6,649","7,720","8,392","11,175","11,635","14,281","17,107","6,071","18,919","4,658","10,960","3,551","9,863","2,837","8,101",996,"5,845",81,"1,144",1,0,0,0,0,0
2020-11,경부선,278,서동탄,0,0,"1,273",7,"4,622",661,"10,116","1,519","4,528","1,781","1,919",895,"1,584",662,"1,621",832,"1,466","1,216","1,369","1,115","1,371","1,220","1,627","1,786","1,807","1,946","1,997","2,800","2,453","4,518","1,022","5,112",762,"3,033",508,"1,953",432,"1,978",98,"1,452",10,"1,029",0,0,0,0,0,0
2020-11,경부선,279,광명,0,0,5,"2,174","2,472","3,439","12,277","4,052","10,005","3,377","5,547","3,708",979,"2,583","3,608","1,713","4,538","2,348","3,183","2,134","3,119","4,525","3,762","3,115","10,349","3,313","1,806","5,003","7,190","10,872","7,188","6,848","1,333","3,684","4,597","2,596","1,896","4,177",407,27,0,1,0,0,0,0,0,0
2020-11,경인선,293,개봉,"1,222",15,"17,869","6,093","33,545","11,244","89,931","15,308","83,703","23,408","47,405","17,790","32,155","15,336","27,288","17,186","29,007","21,745","27,697","21,274","24,634","24,900","23,632","30,415","27,160","36,617","29,340","59,421","28,587","91,649","16,801","68,927","13,149","39,641","11,221","36,590","7,965","28,561","3,241","15,917",115,"2,700",1,0,0,0,0,0
2020-11,경인선,294,오류동,571,6,"11,531","2,060","17,175","4,850","48,749","5,754","50,200","11,218","25,049","9,494","17,467","9,483","14,803","9,167","17,909","11,188","16,014","11,424","13,306","13,205","13,039","15,841","14,398","18,141","14,956","25,515","14,157","43,214","8,322","36,266","6,418","21,650","5,703","19,754","4,202","15,363","1,589","9,075",113,"1,735",1,0,0,0,0,0
2020-11,경인선,295,역곡,905,21,"25,904","3,900","42,863","10,659","117,548","12,622","114,686","29,987","57,524","26,701","35,975","21,805","32,711","24,064","35,851","27,101","32,997","28,714","29,670","30,193","30,673","33,146","34,484","46,465","37,216","64,561","35,163","107,880","21,576","93,531","17,783","51,827","15,362","47,171","12,870","39,031","5,355","23,023",370,"3,170",2,1,0,0,0,0
2020-11,경인선,296,부천,"2,619",13,"34,940","4,863","41,981","12,079","101,603","18,453","102,623","42,962","56,431","39,112","39,964","33,050","40,294","34,024","44,030","42,734","43,790","47,267","42,438","47,421","44,508","48,363","50,121","57,305","54,205","80,633","55,038","118,335","36,263","102,006","30,656","53,776","31,488","49,848","25,684","37,248","11,306","25,735",764,"4,607",2,0,2,0,1,0
2020-11,경인선,297,송내,"1,365",4,"15,289","7,934","35,046","16,011","106,829","29,559","88,675","79,038","46,566","41,079","32,079","21,644","32,358","20,500","33,988","22,480","30,617","26,184","27,827","25,944","29,328","28,231","35,430","36,180","45,351","53,132","71,240","88,337","31,405","82,759","22,576","44,818","19,197","40,415","14,125","33,223","6,038","19,881",906,"4,296",0,0,1,0,0,0
2020-11,경인선,298,부평,"8,150",72,"21,526","5,155","33,378","11,236","81,151","18,441","78,011","32,333","40,932","37,058","33,592","29,813","34,719","34,959","38,044","41,058","38,265","48,449","38,025","48,102","41,532","51,034","48,457","61,035","54,670","76,212","51,930","119,374","38,819","94,867","37,355","52,587","37,719","43,587","30,831","34,402","15,435","21,894","2,472","6,044",0,1,0,0,0,0
2020-11,경인선,299,백운,86,1,"6,910","1,727","12,863","3,426","27,481","4,229","25,248","9,843","13,947","6,792","10,524","5,236","9,833","6,042","10,445","7,762","9,335","8,078","8,486","7,970","8,276","10,100","9,546","12,022","11,377","15,783","9,787","24,048","5,009","22,188","3,851","13,364","3,825","11,734","2,330","9,800","1,082","6,519",116,"1,727",0,0,0,0,0,0
2020-11,경인선,300,동암,556,4,"20,049","5,072","28,214","10,562","52,544","13,189","50,648","17,380","30,324","12,987","21,895","12,615","19,978","13,658","21,100","15,501","20,368","17,014","17,896","16,778","17,310","21,847","21,652","25,572","24,644","38,055","22,624","51,922","14,132","47,100","10,984","30,426","10,031","26,816","6,867","21,761","3,197","14,140",274,"3,362",0,0,0,0,0,0
2020-11,경인선,301,주안,954,8,"12,671","3,802","24,277","8,493","60,185","17,624","51,978","29,772","30,986","21,376","22,695","15,441","23,725","14,789","26,711","19,084","26,796","18,630","23,844","20,274","26,020","20,991","29,130","26,459","36,941","37,013","37,482","51,179","20,802","56,371","18,607","31,543","16,498","27,586","13,088","22,565","6,132","15,675",575,"4,198",1,0,0,0,0,0
2020-11,경인선,302,제물포,802,3,"7,061","1,583","12,725","4,797","34,948","11,593","30,630","27,891","16,689","14,491","12,739","8,949","12,902","7,993","14,036","10,042","13,481","11,549","12,545","10,114","14,493","10,673","20,551","14,260","20,192","19,219","22,966","25,368","9,682","26,717","7,021","15,995","5,277","14,469","3,573","12,095","1,612","9,082",81,"2,545",0,0,0,0,0,0
2020-11,경인선,303,동인천,"1,571",3,"7,103","3,188","14,581","12,002","37,907","21,138","30,324","31,345","18,548","14,923","15,922","14,347","17,721","16,540","19,463","17,286","19,441","18,299","19,443","17,646","21,796","17,850","27,306","21,201","34,730","23,256","36,247","29,737","16,481","33,185","12,551","19,228","9,421","14,706","5,895","13,491","2,269","9,295",14,"2,971",0,0,0,0,0,0
2020-11,경인선,304,인천,207,1,"1,386","1,005","2,526","2,978","5,207","5,126","4,596","7,571","2,773","3,842","2,729","4,284","3,625","6,436","5,147","6,854","6,130","6,342","7,777","6,198","8,752","5,324","10,689","4,141","11,918","3,471","10,887","2,961","4,974","2,196","3,771","1,809","2,705","1,528","1,362","1,278",457,705,5,738,0,1,0,0,0,0
2020-11,경인선,305,구일,265,7,"3,379","1,395","8,693","3,151","25,688","7,821","24,159","11,230","11,599","7,399","8,513","4,692","7,669","4,832","8,360","7,506","7,867","8,741","7,266","8,412","8,476","9,634","9,706","12,432","12,029","25,139","11,301","39,934","5,225","24,635","4,503","11,248","13,778","9,679","16,711","7,860","2,568","4,458",39,929,0,0,0,0,0,0
2020-11,경인선,306,소사,"1,114",41,"17,082","3,127","15,872","5,690","34,809","7,333","32,658","12,190","19,873","9,119","14,844","8,962","13,214","9,645","13,826","11,573","13,103","11,453","11,882","11,814","12,020","12,000","12,612","16,155","14,481","22,442","12,617","29,795","7,288","27,195","5,607","15,072","4,622","15,585","3,448","12,288","1,340","8,237",112,"1,640",0,0,0,0,0,0
2020-11,경인선,307,부개,"1,787",30,"8,791","2,622","15,003","4,431","37,132","5,646","29,295","10,459","16,525","5,946","12,035","5,517","10,900","6,067","11,103","7,379","10,427","8,321","9,107","8,765","8,605","10,425","11,041","14,117","11,122","17,017","10,559","30,006","5,610","24,666","3,999","14,176","3,567","12,966","2,619","10,700","1,134","6,695",175,"1,859",0,0,1,0,0,0
2020-11,경인선,308,간석,274,9,"4,801","1,093","10,358","1,963","22,270","3,425","19,262","7,787","10,568","4,837","7,619","3,958","7,418","4,955","7,530","5,616","7,473","5,934","6,502","6,457","7,154","7,051","8,016","9,255","7,868","13,264","8,380","17,168","4,328","17,646","3,741","10,393","3,396","8,261","2,348","7,478","1,294","4,970",135,"1,487",1,0,0,0,0,0
2020-11,경인선,309,도원,563,9,"2,504",983,"2,975","1,885","6,115","4,179","5,946","19,038","4,093","4,245","3,614","3,748","4,221","3,223","4,615","3,901","4,664","4,007","4,076","3,933","6,346","4,252","10,314","5,199","8,158","5,206","7,586","5,456","3,312","5,185","2,339","3,483","2,050","2,823",923,"2,309",287,"1,827",11,878,0,0,0,0,0,0
2020-11,경인선,310,온수(성공회대입구),187,2,"5,393","1,311","8,154","4,002","23,462","8,871","22,633","12,687","12,629","6,532","9,568","5,958","9,295","5,617","10,494","7,296","9,948","7,156","9,004","7,802","9,308","8,528","12,880","10,722","11,833","13,557","11,117","23,235","5,230","18,717","4,130","10,720","4,044","9,376","2,848","8,433","1,229","4,845",156,908,0,0,1,0,0,0
2020-11,경인선,311,중동,820,4,"10,036","1,420","15,602","4,446","41,022","5,810","32,634","12,247","16,565","8,065","12,014","7,107","11,178","7,053","12,077","8,850","11,571","9,175","9,628","10,250","9,830","11,396","11,268","13,777","12,034","19,513","12,731","29,577","6,603","27,697","5,222","15,810","4,351","13,392","3,047","11,377","1,111","7,080",150,"2,478",0,0,1,0,0,0
2020-11,경인선,312,도화,271,0,"3,578",705,"5,834","2,002","13,492","3,835","12,066","6,687","6,944","3,158","5,306","2,960","5,073","3,397","5,387","4,266","5,228","4,202","4,744","4,396","4,743","4,780","5,693","6,446","5,847","6,956","5,924","8,843","2,767","8,841","2,259","5,488","1,502","4,659",917,"3,573",600,"2,988",26,"1,301",0,0,0,0,0,0
2020-11,경원선,128,이촌(국립중앙박물관),65,1,"1,193",498,"3,062","2,091","7,446","4,343","8,788","7,797","6,740","4,748","5,224","3,098","4,981","2,922","5,397","3,282","5,639","3,910","5,508","3,680","5,978","3,983","7,312","4,749","9,519","5,431","9,698","7,674","4,899","5,983","3,645","3,908","3,693","3,446","2,001","3,372",618,"2,069",60,726,1,1,0,0,0,0
2020-11,경원선,129,서빙고,41,2,749,522,"1,815","2,546","2,779","4,180","3,057","7,578","2,766","3,144","2,175","1,993","1,900","1,680","2,397","1,783","2,662","2,073","2,516","1,766","3,239","2,289","4,189","2,355","6,230","2,539","6,590","3,235","2,693","2,505","1,614","1,511","1,391","1,316",754,"1,171",305,850,48,248,0,0,0,0,0,0
2020-11,경원선,130,한남,160,5,"1,791",581,"2,547","4,393","4,457","10,191","5,751","13,269","4,531","11,883","4,170","5,482","4,861","4,375","5,088","4,552","4,758","5,361","5,451","4,014","6,698","4,871","7,968","5,110","13,686","6,508","14,194","7,608","6,942","5,357","4,924","2,973","4,854","3,203","3,705","1,974","1,366","1,312",49,522,0,0,0,0,0,0
2020-11,경원선,131,옥수,0,0,0,20,1,67,26,29,94,184,46,14,61,154,28,178,21,63,19,15,36,9,15,18,310,38,358,31,62,33,337,6,25,17,78,22,9,8,13,0,2,1,0,0,0,0,0,0
2020-11,경원선,132,응봉,148,0,"1,124",274,"2,522","1,060","6,318","1,636","7,154","2,706","4,293","1,378","2,645","1,119","2,572","1,368","2,373","1,563","2,605","1,878","2,022","2,167","2,361","2,457","2,720","3,066","2,754","3,787","2,808","4,942","1,465","4,839","1,051","2,428",878,"1,981",630,"1,796",217,"1,053",12,343,0,0,0,0,0,0
2020-11,경원선,133,왕십리(성동구청),873,4,"5,257",765,"7,566","4,275","23,470","10,177","38,737","20,091","24,762","14,361","13,696","14,011","13,276","15,829","15,819","18,344","17,773","20,842","17,898","21,512","19,902","23,343","23,133","27,823","27,136","37,703","27,159","60,922","20,488","45,384","19,291","25,859","21,494","21,377","18,520","18,878","8,449","10,880",367,"4,642",0,0,0,0,0,0
2020-11,경원선,134,청량리(서울시립대입구),"1,269",21,"6,853","1,157","7,585","10,424","26,828","12,153","29,643","18,326","24,481","24,550","22,444","25,453","17,763","28,736","24,038","26,390","25,382","26,959","26,825","29,654","30,346","31,001","28,302","29,695","31,648","31,557","26,912","42,756","22,216","32,632","21,914","16,997","9,862","14,200","8,761","12,064","2,766","6,654",109,"2,452",0,1,0,0,0,0
2020-11,경원선,136,외대앞,407,7,"4,758","1,332","7,369","3,445","17,331","3,794","21,240","14,171","12,793","9,563","10,283","9,735","10,498","9,253","12,305","10,171","12,387","9,822","12,192","11,733","13,078","11,538","14,177","13,132","16,950","16,443","13,865","22,226","8,821","18,415","7,162","11,462","7,302","11,918","5,704","10,453","2,547","6,824",83,"1,309",0,0,0,0,0,0
2020-11,경원선,137,신이문,"1,272",22,"8,563","1,091","13,245","2,424","35,792","4,253","38,669","7,871","20,876","4,756","13,670","4,896","11,525","6,297","12,009","7,529","11,532","8,482","9,892","9,329","9,243","12,639","8,904","15,839","8,817","20,129","8,213","30,492","5,589","25,171","3,365","15,165","2,823","12,858","1,921","11,184",828,"6,712",41,"1,067",0,0,0,0,0,0
2020-11,경원선,138,석계,"1,131",12,"5,985","2,082","10,670","4,459","23,852","5,515","28,567","8,332","18,512","6,436","14,419","6,898","12,842","8,060","12,845","9,147","12,098","10,576","11,548","11,790","11,159","15,845","10,932","19,549","12,169","24,607","10,299","37,398","7,798","27,300","6,151","17,823","5,880","15,594","4,643","12,288","2,052","7,698",107,"1,499",0,0,0,0,0,0
2020-11,경원선,139,광운대,"2,208",16,"5,890","1,147","11,611","2,622","31,182","5,106","30,010","13,442","15,494","9,108","11,864","8,547","10,620","10,196","11,398","9,351","11,970","10,914","11,507","11,342","11,138","11,787","12,123","13,991","13,455","17,221","11,501","25,225","6,570","21,593","5,643","13,302","5,112","11,575","4,404","9,363","1,992","8,291",129,"3,351",0,0,0,0,0,0
2020-11,경원선,140,월계,612,6,"5,001","1,087","8,441","2,369","22,917","7,326","20,202","8,476","12,412","7,701","9,874","5,229","8,822","5,690","10,247","7,103","11,152","8,772","8,673","7,412","9,453","8,959","10,630","11,633","10,915","13,694","9,134","19,572","5,123","17,022","3,764","9,205","3,794","8,404","2,844","6,878",974,"4,157",52,"1,057",0,0,0,0,0,0
2020-11,경원선,141,녹천,863,7,"4,349",623,"7,357","1,524","20,596","3,099","17,090","4,608","10,493","2,416","7,375","2,979","6,273","3,164","7,757","4,379","6,357","4,472","5,291","4,615","5,181","5,874","6,332","7,597","5,598","8,842","4,663","13,818","3,324","12,280","1,972","7,133","1,941","6,505","1,165","5,076",437,"3,716",51,837,0,0,0,0,0,0
2020-11,경원선,142,창동,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,2,0,3,0,0,0,1,0,3,0,3,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
2020-11,경원선,358,방학,607,4,"10,370","1,616","14,006","5,597","29,225","7,932","27,687","18,493","17,271","10,382","14,516","10,175","13,312","9,197","15,310","10,630","14,132","11,422","13,004","13,342","12,842","16,372","14,572","19,006","15,407","19,736","17,120","28,283","8,795","24,581","6,339","12,891","4,887","12,401","3,731","9,261","1,196","5,627",143,"2,090",1,0,0,0,0,0
2020-11,경원선,359,도봉,230,4,"7,087","1,321","8,778","2,990","18,445","3,546","18,142","9,232","11,750","7,253","10,058","6,992","9,217","5,928","8,501","6,976","9,241","7,953","9,201","8,298","9,031","9,720","8,707","11,661","9,064","12,598","9,464","16,163","4,595","14,855","2,719","8,156","2,415","7,641","1,636","6,003",712,"3,575",78,"1,389",0,0,0,0,0,0
2020-11,경원선,360,도봉산,222,4,"6,326",777,"8,847","2,098","22,659","3,876","20,855","6,533","13,309","10,424","10,709","15,013","10,481","11,317","12,695","13,082","15,807","10,653","18,777","9,609","20,491","9,032","20,667","8,793","16,564","7,666","12,051","9,469","6,684","8,104","3,950","4,893","2,881","4,516","1,910","3,898",622,"2,625",51,"1,255",0,0,0,0,0,0
2020-11,경원선,361,망월사,287,4,"6,927",987,"11,681","3,170","25,576","4,274","24,657","13,616","14,596","14,246","12,622","10,170","12,504","8,373","13,404","10,988","12,557","11,448","12,029","10,791","12,018","11,385","13,106","13,548","12,578","15,985","10,294","23,390","5,323","22,149","4,165","12,533","3,643","11,324","3,277","9,156","1,024","5,266",90,"1,938",0,0,0,0,0,0
2020-11,경원선,362,회룡,959,26,"13,504","2,166","24,032","5,586","53,626","8,360","44,233","11,870","25,608","9,975","19,863","9,588","18,681","10,219","18,519","13,571","17,105","14,479","14,701","15,938","13,969","18,161","13,392","23,366","13,893","28,199","11,391","41,227","7,008","40,472","5,396","21,622","4,659","18,909","3,315","14,740","1,154","8,606",117,"3,394",0,0,0,0,0,0
2020-11,경원선,363,의정부,"2,338",40,"9,753","2,184","21,485","7,547","44,531","13,428","40,870","33,611","23,808","30,393","20,124","23,963","22,311","24,147","24,942","26,799","26,557","32,548","26,860","31,032","29,899","29,481","32,905","31,719","37,990","36,864","39,455","50,654","24,713","47,205","24,726","27,106","18,172","23,247","14,438","18,153","4,996","11,295",374,"5,219",0,1,0,0,0,0
2020-11,경원선,364,가능,382,9,"7,102","1,721","10,598","3,965","22,543","5,245","20,771","12,578","11,813","7,434","9,650","5,483","8,887","5,227","9,081","6,449","8,563","6,984","7,535","6,586","7,550","8,341","8,824","10,144","10,652","12,750","8,588","18,677","5,679","17,824","4,014","10,714","3,247","8,215","2,496","6,975",920,"4,962",85,"1,402",0,0,0,0,0,0
2020-11,경원선,365,녹양,177,0,"4,851",920,"7,840","2,312","17,094","4,256","14,332","9,563","7,757","4,394","6,540","3,207","6,080","3,723","6,848","4,959","6,062","4,643","5,360","4,283","5,624","5,927","6,817","7,148","7,024","8,834","7,818","12,792","3,672","12,763","2,627","8,347","2,249","6,292","1,531","5,425",519,"4,224",35,"1,083",0,0,0,0,0,0
